,13,14,15,16,17,18,19,20,26,36,46,56,66,,
1,28.26,25.25,22.59,20.59,19.18,17.51,18.11,17.09,21.49,26.12,32.47,43.48,43.48,,
2,27.54,25,22.38,20.41,19.03,17.39,17.58,16.57,21.3,25.45,32.05,42.33,42.51,,
3,27.24,24.35,22.18,20.24,18.49,17.27,17.45,16.46,21.17,25.25,31.35,41.4,41.57,,
4,26.54,24.12,21.59,20.08,18.35,17.14,17.33,16.34,20.59,25,30.56,40.32,41.06,,
5,26.26,23.49,21.4,19.52,18.21,17.03,17.2,16.24,20.46,24.41,30.27,39.44,40.16,,
6,25.58,23.26,21.21,19.36,18.08,16.51,17.09,16.13,20.29,24.17,29.51,38.43,39.28,,
7,25.32,23.05,21.03,19.21,17.55,16.4,16.57,16.03,20.12,23.54,29.16,37.44,38.43,,
8,25.06,22.44,20.46,19.06,17.42,16.29,16.46,15.53,20,23.37,28.51,37.02,37.58,,
9,24.41,22.23,20.29,18.52,17.3,16.18,16.34,15.42,19.44,23.15,28.18,36.09,37.16,,
10,24.17,22.04,20.12,18.38,17.17,16.08,16.24,15.33,19.33,22.59,27.47,35.18,36.35,,
11,23.54,21.44,19.56,18.24,17.06,15.57,16.13,15.23,19.18,22.38,27.24,34.41,35.56,,
12,23.32,21.26,19.4,18.11,16.54,15.47,16.03,15.14,19.03,22.18,26.54,33.54,35.18,,
13,23.1,21.08,19.25,17.58,16.43,15.37,15.52,15.05,18.52,22.04,26.33,33.2,34.41,,
14,22.49,20.5,19.1,17.45,16.32,15.28,15.42,14.56,18.38,21.44,26.05,32.37,34.05,,
15,22.28,20.33,18.56,17.33,16.21,15.18,15.37,14.51,18.28,21.3,25.38,31.55,33.31,,
16,22.08,20.16,18.41,17.2,16.1,15.09,15.28,14.42,18.14,21.12,25.19,31.25,32.58,,
17,21.49,20,18.28,17.09,16,15,15.18,14.34,18.01,20.54,24.54,30.46,32.26,,
18,21.3,19.44,18.14,16.57,15.5,14.51,15.09,14.25,17.51,20.41,24.29,30.09,31.55,,
19,21.12,19.29,18.01,16.46,15.4,14.42,15,14.17,17.39,20.24,24.12,29.42,31.25,,
20,20.54,19.14,17.48,16.34,15.3,14.34,14.51,14.09,17.27,20.08,23.49,29.08,30.56,,
21,20.37,18.59,17.36,16.24,15.21,14.25,14.42,14.01,17.17,19.56,23.32,28.42,30.27,,
22,20.2,18.45,17.23,16.13,15.11,14.17,14.34,13.53,17.06,19.4,23.1,28.1,30,,
23,20.04,18.31,17.12,16.03,15.02,14.09,14.25,13.46,16.57,19.29,22.49,27.39,29.33,,
24,19.48,18.18,17,15.52,14.53,14.01,14.17,13.38,16.46,19.14,22.33,27.16,29.08,,
25,19.33,18.04,16.48,15.42,14.45,13.53,14.09,13.31,16.34,18.59,22.13,26.47,28.42,,
26,19.18,17.51,16.37,15.33,14.36,13.46,14.01,13.24,16.26,18.49,21.59,26.26,28.18,,
27,19.03,17.39,16.26,15.23,14.27,13.38,13.53,13.16,16.16,18.35,21.4,25.58,27.54,,
28,18.49,17.27,16.16,15.14,14.19,13.31,13.46,13.09,16.08,18.24,21.21,25.32,27.31,,
29,18.35,17.14,16.05,15.05,14.11,13.24,13.38,13.03,15.57,18.11,21.08,25.13,27.09,,
30,18.21,17.03,15.55,14.56,14.03,13.16,13.31,12.56,15.47,17.58,20.5,24.48,26.47,,
31,18.08,16.51,15.45,14.47,13.55,13.09,13.24,12.49,15.4,17.48,20.33,24.23,26.26,,
32,17.55,16.4,15.35,14.38,13.48,13.03,13.16,12.43,15.3,17.36,20.2,24.06,26.05,,
33,17.42,16.29,15.25,14.3,13.4,12.56,13.09,12.36,15.23,17.27,20.04,23.43,25.45,,
34,17.3,16.18,15.16,14.21,13.33,12.49,13.03,"12,3",15.14,17.14,19.52,23.26,25.25,,
35,17.17,16.08,15.07,14.13,13.25,12.43,12.56,"12,24",15.05,17.03,19.36,23.05,25.06,,
36,17.06,15.57,14.58,14.05,13.18,12.36,12.46,"12,2",14.58,16.54,19.21,22.44,24.48,,
37,16.54,15.47,14.49,13.57,13.11,"12,3",12.39,"12,15",14.49,16.43,19.1,22.28,24.29,,
38,16.43,15.37,14.4,13.49,13.04,"12,24",12.36,"12,09",14.42,16.34,18.56,22.08,24.12,,
39,16.32,15.28,14.32,13.42,12.58,"12,18","12,3","12,03",14.34,16.24,18.41,21.49,23.49,,
40,16.21,15.18,14.23,13.34,12.51,"12,12","12,24",11.57,14.25,16.13,18.31,21.35,23.32,,
41,16.1,15.09,14.15,13.27,12.44,"12,06","12,18",11.51,14.19,16.05,18.18,21.17,23.15,,
42,16,15,14.07,13.2,12.38,12,"12,12",11.46,14.11,15.55,18.08,21.03,22.59,,
43,15.5,14.51,13.59,13.13,12.32,11.54,"12,06",11.38,14.05,15.47,17.55,20.46,22.44,,
44,15.4,14.42,13.51,13.06,"12,25",11.49,12,11.32,13.57,15.37,17.42,20.29,22.28,,
45,15.3,14.34,13.44,12.59,"12,19",11.43,11.54,"11,27",13.49,15.28,17.33,20.16,22.13,,
46,15.21,14.25,13.36,12.53,"12,13",11.38,11.49,"11,22",13.44,15.21,17.2,20,21.59,,
47,15.11,14.17,13.29,12.46,"12,07",11.32,11.43,"11,19",13.36,15.11,17.12,19.48,21.44,,
48,15.02,14.09,13.22,12.39,"12,01","11,27",11.38,"11,14",13.31,15.05,17,19.33,21.3,,
49,14.53,14.01,13.15,12.33,11.56,"11,22",11.32,"11,09",13.24,14.56,16.48,19.18,21.17,,
50,14.45,13.53,13.08,"12,27","11,5","11,17","11,27","11,04",13.16,14.47,16.4,19.06,21.03,,
51,14.36,13.46,13.01,"12,21",11.45,"11,12","11,22",10.59,13.11,14.4,16.29,18.52,20.5,,
52,14.27,13.38,12.54,"12,15",11.39,"11,07","11,17",10.55,13.04,14.32,16.18,18.38,20.37,,
53,14.19,13.31,12.48,"12,09",11.34,"11,02","11,12","10,5",12.59,14.25,16.1,18.28,20.24,,
54,14.11,13.24,12.41,"12,03","11,28",10.57,"11,07",10.45,12.53,14.17,16,18.14,20.12,,
55,14.03,13.16,12.35,11.57,"11,23",10.52,"11,02",10.41,12.46,14.09,15.52,18.04,20,,
56,13.55,13.09,"12,28",11.51,"11,18",10.47,10.57,10.36,12.41,14.03,15.42,17.51,19.48,,
57,13.48,13.03,"12,22",11.46,"11,13",10.43,10.52,10.32,12.35,13.55,15.33,17.39,19.36,,
58,13.4,12.56,"12,16","11,4","11,08",10.38,10.47,"10,27","12,28",13.48,15.25,17.3,19.25,,
59,13.33,12.49,"12,1",11.35,"11,03",10.34,10.43,"10,23","12,24",13.42,15.16,17.17,19.14,,
60,13.25,12.43,"12,04","11,3",10.58,"10,29",10.38,"10,19","12,18",13.34,15.09,17.09,19.03,,
61,13.18,12.36,11.59,"11,24",10.53,"10,25",10.34,"10,14","12,13",13.29,15,16.57,18.52,,
62,13.11,"12,3",11.53,"11,19",10.49,"10,21","10,29","10,1","12,07",13.22,14.51,16.46,18.41,,
63,13.04,"12,24",11.47,"11,14",10.44,"10,16","10,25","10,06","12,01",13.15,14.45,16.37,18.31,,
64,12.58,"12,18",11.42,"11,09",10.39,"10,12","10,21","10,02",11.57,13.09,14.36,16.26,18.21,,
65,12.51,"12,12",11.36,"11,04",10.35,"10,08","10,16",9.58,11.51,13.03,14.27,16.16,18.11,,
66,12.44,"12,06",11.31,10.59,"10,3","10,04","10,12",9.54,11.47,12.58,14.21,16.08,18.01,,
67,12.38,12,"11,26",10.55,"10,26",10,"10,08","9,5",11.42,12.51,14.13,15.57,17.51,,
68,12.32,11.54,"11,21","10,5","10,22",9.56,"10,04",9.46,11.36,12.44,14.07,15.5,17.42,,
69,"12,25",11.49,"11,15",10.45,"10,17",9.52,10,9.43,11.32,12.39,13.59,15.4,17.33,,
70,"12,19",11.43,"11,1",10.41,"10,13",9.48,9.56,9.39,"11,27",12.33,13.51,15.3,17.23,,
71,"12,13",11.38,"11,05",10.36,"10,09",9.44,9.52,9.35,"11,23","12,28",13.46,15.23,17.14,,
72,"12,07",11.32,"11,01",10.32,"10,05",9.41,9.48,9.31,"11,18","12,22",13.38,15.14,17.06,,
73,"12,01","11,27",10.56,"10,27","10,01",9.37,9.44,"9,28","11,13","12,16",13.31,15.05,16.57,,
74,11.56,"11,22",10.51,"10,23",9.57,9.33,9.41,"9,24","11,09","12,12",13.25,14.58,16.48,,
75,"11,5","11,17",10.46,"10,19",9.53,"9,3",9.36,"9,21","11,04","12,06",13.18,14.49,16.4,,
76,11.45,"11,12",10.42,"10,14",9.49,"9,26",9.31,"9,17","11,01","12,01",13.13,14.42,16.32,,
77,11.39,"11,07",10.37,"10,1",9.45,"9,22","9,27","9,14",10.56,11.56,13.06,14.34,16.24,,
